window,draw_date,strategy,sample_size,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
Last 60 draws,2026-05-01,Most-common-zone only,1200,2,2,True,False,False
Last 60 draws,2026-05-01,Pure random,1200,2,1,True,False,True
Last 60 draws,2026-05-05,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-05-05,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-05-05,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-05-05,Most-common-zone only,1200,1,0,False,False,False
Last 60 draws,2026-05-05,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-05-08,Era 3 diversified random,1200,2,1,True,False,True
Last 60 draws,2026-05-08,Pat-alyzer v2 scored,1200,1,0,False,False,False
Last 60 draws,2026-05-08,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-05-08,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-05-08,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-05-12,Era 3 diversified random,1200,2,1,True,False,True
Last 60 draws,2026-05-12,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-05-12,Hybrid-zone only,1200,1,2,False,False,False
Last 60 draws,2026-05-12,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-05-12,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-05-15,Era 3 diversified random,1200,2,1,True,False,True
Last 60 draws,2026-05-15,Pat-alyzer v2 scored,1200,2,2,True,False,True
Last 60 draws,2026-05-15,Hybrid-zone only,1200,2,1,True,False,True
Last 60 draws,2026-05-15,Most-common-zone only,1200,2,1,True,False,False
Last 60 draws,2026-05-15,Pure random,1200,2,2,True,False,True
Last 60 draws,2026-05-19,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-05-19,Pat-alyzer v2 scored,1200,0,1,False,False,False
Last 60 draws,2026-05-19,Hybrid-zone only,1200,0,0,False,False,False
Last 60 draws,2026-05-19,Most-common-zone only,1200,0,1,False,False,False
Last 60 draws,2026-05-19,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-05-22,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-05-22,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-05-22,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-05-22,Most-common-zone only,1200,1,2,False,False,False
Last 60 draws,2026-05-22,Pure random,1200,2,2,True,False,False
Last 60 draws,2026-05-26,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-05-26,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-05-26,Hybrid-zone only,1200,1,2,False,False,False
Last 60 draws,2026-05-26,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-05-26,Pure random,1200,0,1,False,False,False
Last 60 draws,2026-05-29,Era 3 diversified random,1200,3,1,True,True,False
Last 60 draws,2026-05-29,Pat-alyzer v2 scored,1200,2,1,True,False,True
Last 60 draws,2026-05-29,Hybrid-zone only,1200,2,1,True,False,True
Last 60 draws,2026-05-29,Most-common-zone only,1200,2,1,True,False,False
Last 60 draws,2026-05-29,Pure random,1200,2,1,True,False,True
Last 60 draws,2026-06-02,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-06-02,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-06-02,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-06-02,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-06-02,Pure random,1200,1,2,False,False,False
Last 60 draws,2026-06-05,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-06-05,Pat-alyzer v2 scored,1200,2,1,True,False,False
Last 60 draws,2026-06-05,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-06-05,Most-common-zone only,1200,1,2,False,False,False
Last 60 draws,2026-06-05,Pure random,1200,1,1,False,False,False
Last 60 draws,2026-06-09,Era 3 diversified random,1200,2,1,True,False,True
Last 60 draws,2026-06-09,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-06-09,Hybrid-zone only,1200,1,1,False,False,False
Last 60 draws,2026-06-09,Most-common-zone only,1200,1,1,False,False,False
Last 60 draws,2026-06-09,Pure random,1200,2,1,True,False,False
Last 60 draws,2026-06-12,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-06-12,Pat-alyzer v2 scored,1200,0,1,False,False,False
Last 60 draws,2026-06-12,Hybrid-zone only,1200,0,1,False,False,False
Last 60 draws,2026-06-12,Most-common-zone only,1200,0,2,False,False,False
Last 60 draws,2026-06-12,Pure random,1200,2,1,True,False,True
Last 60 draws,2026-06-16,Era 3 diversified random,1200,1,1,False,False,False
Last 60 draws,2026-06-16,Pat-alyzer v2 scored,1200,1,1,False,False,False
Last 60 draws,2026-06-16,Hybrid-zone only,1200,1,1,False,False,False
