draw_date,ball_machine,ball_set,draw_order_1,draw_order_2,draw_order_3,draw_order_4,draw_order_5,star_order_1,star_order_2,source_url,metadata_status,fetched_at
2024-11-26,,,26,,,,,,,https://www.lottery.co.uk/euromillions/results-26-11-2024,parsed_no_machine_fields,2026-06-04T15:11:34.103691+00:00
2024-11-29,,,29,,,,,,,https://www.lottery.co.uk/euromillions/results-29-11-2024,parsed_no_machine_fields,2026-06-04T15:11:34.735126+00:00
2024-12-03,,,3,,,,,,,https://www.lottery.co.uk/euromillions/results-03-12-2024,parsed_no_machine_fields,2026-06-04T15:11:35.346154+00:00
2024-12-06,,,6,,,,,,,https://www.lottery.co.uk/euromillions/results-06-12-2024,parsed_no_machine_fields,2026-06-04T15:11:35.968903+00:00
2024-12-10,,,10,,,,,,,https://www.lottery.co.uk/euromillions/results-10-12-2024,parsed_no_machine_fields,2026-06-04T15:11:36.584246+00:00
2024-12-13,,,13,,,,,,,https://www.lottery.co.uk/euromillions/results-13-12-2024,parsed_no_machine_fields,2026-06-04T15:11:37.178204+00:00
2024-12-17,,,17,,,,,,,https://www.lottery.co.uk/euromillions/results-17-12-2024,parsed_no_machine_fields,2026-06-04T15:11:37.804296+00:00
2024-12-20,,,20,,,,,,,https://www.lottery.co.uk/euromillions/results-20-12-2024,parsed_no_machine_fields,2026-06-04T15:11:38.352925+00:00
2024-12-24,,,24,,,,,,,https://www.lottery.co.uk/euromillions/results-24-12-2024,parsed_no_machine_fields,2026-06-04T15:11:38.865140+00:00
2024-12-27,,,27,,,,,,,https://www.lottery.co.uk/euromillions/results-27-12-2024,parsed_no_machine_fields,2026-06-04T15:11:39.560549+00:00
2024-12-31,,,31,,,,,,,https://www.lottery.co.uk/euromillions/results-31-12-2024,parsed_no_machine_fields,2026-06-04T15:11:40.062550+00:00
2025-01-03,,,3,,,,,,,https://www.lottery.co.uk/euromillions/results-03-01-2025,parsed_no_machine_fields,2026-06-04T15:11:40.632157+00:00
2025-01-07,,,7,,,,,,,https://www.lottery.co.uk/euromillions/results-07-01-2025,parsed_no_machine_fields,2026-06-04T15:11:41.157053+00:00
2025-01-10,,,10,,,,,,,https://www.lottery.co.uk/euromillions/results-10-01-2025,parsed_no_machine_fields,2026-06-04T15:11:41.786698+00:00
2025-01-14,,,14,,,,,,,https://www.lottery.co.uk/euromillions/results-14-01-2025,parsed_no_machine_fields,2026-06-04T15:11:42.372360+00:00
2025-01-17,,,17,,,,,,,https://www.lottery.co.uk/euromillions/results-17-01-2025,parsed_no_machine_fields,2026-06-04T15:11:42.986526+00:00
2025-01-21,,,21,,,,,,,https://www.lottery.co.uk/euromillions/results-21-01-2025,parsed_no_machine_fields,2026-06-04T15:11:43.481375+00:00
2025-01-24,,,24,,,,,,,https://www.lottery.co.uk/euromillions/results-24-01-2025,parsed_no_machine_fields,2026-06-04T15:11:44.042151+00:00
2025-01-28,,,28,,,,,,,https://www.lottery.co.uk/euromillions/results-28-01-2025,parsed_no_machine_fields,2026-06-04T15:11:44.543279+00:00
2025-01-31,,,31,,,,,,,https://www.lottery.co.uk/euromillions/results-31-01-2025,parsed_no_machine_fields,2026-06-04T15:11:45.051357+00:00
2025-02-04,,,4,,,,,,,https://www.lottery.co.uk/euromillions/results-04-02-2025,parsed_no_machine_fields,2026-06-04T15:11:45.542264+00:00
2025-02-07,,,7,,,,,,,https://www.lottery.co.uk/euromillions/results-07-02-2025,parsed_no_machine_fields,2026-06-04T15:11:46.035875+00:00
2025-02-11,,,11,,,,,,,https://www.lottery.co.uk/euromillions/results-11-02-2025,parsed_no_machine_fields,2026-06-04T15:11:46.540199+00:00
2025-02-14,,,14,,,,,,,https://www.lottery.co.uk/euromillions/results-14-02-2025,parsed_no_machine_fields,2026-06-04T15:11:47.113722+00:00
2025-02-18,,,18,,,,,,,https://www.lottery.co.uk/euromillions/results-18-02-2025,parsed_no_machine_fields,2026-06-04T15:11:47.704343+00:00
2025-02-21,,,21,,,,,,,https://www.lottery.co.uk/euromillions/results-21-02-2025,parsed_no_machine_fields,2026-06-04T15:11:48.292583+00:00
2025-02-25,,,25,,,,,,,https://www.lottery.co.uk/euromillions/results-25-02-2025,parsed_no_machine_fields,2026-06-04T15:11:48.922637+00:00
2025-02-28,,,28,,,,,,,https://www.lottery.co.uk/euromillions/results-28-02-2025,parsed_no_machine_fields,2026-06-04T15:11:49.524827+00:00
2025-03-04,,,4,,,,,,,https://www.lottery.co.uk/euromillions/results-04-03-2025,parsed_no_machine_fields,2026-06-04T15:11:50.078382+00:00
2025-03-07,,,7,,,,,,,https://www.lottery.co.uk/euromillions/results-07-03-2025,parsed_no_machine_fields,2026-06-04T15:11:50.604643+00:00
2025-03-11,,,11,,,,,,,https://www.lottery.co.uk/euromillions/results-11-03-2025,parsed_no_machine_fields,2026-06-04T15:11:51.103436+00:00
2025-03-14,,,14,,,,,,,https://www.lottery.co.uk/euromillions/results-14-03-2025,parsed_no_machine_fields,2026-06-04T15:11:51.624810+00:00
2025-03-18,,,18,,,,,,,https://www.lottery.co.uk/euromillions/results-18-03-2025,parsed_no_machine_fields,2026-06-04T15:11:52.100082+00:00
2025-03-21,,,21,,,,,,,https://www.lottery.co.uk/euromillions/results-21-03-2025,parsed_no_machine_fields,2026-06-04T15:11:52.704358+00:00
2025-03-25,,,25,,,,,,,https://www.lottery.co.uk/euromillions/results-25-03-2025,parsed_no_machine_fields,2026-06-04T15:11:53.291442+00:00
2025-03-28,,,28,,,,,,,https://www.lottery.co.uk/euromillions/results-28-03-2025,parsed_no_machine_fields,2026-06-04T15:11:53.895440+00:00
2025-04-01,,,1,,,,,,,https://www.lottery.co.uk/euromillions/results-01-04-2025,parsed_no_machine_fields,2026-06-04T15:11:54.555081+00:00
2025-04-04,,,4,,,,,,,https://www.lottery.co.uk/euromillions/results-04-04-2025,parsed_no_machine_fields,2026-06-04T15:11:55.104144+00:00
2025-04-08,,,8,,,,,,,https://www.lottery.co.uk/euromillions/results-08-04-2025,parsed_no_machine_fields,2026-06-04T15:11:55.661256+00:00
2025-04-11,,,11,,,,,,,https://www.lottery.co.uk/euromillions/results-11-04-2025,parsed_no_machine_fields,2026-06-04T15:11:56.159557+00:00
2025-04-15,,,15,,,,,,,https://www.lottery.co.uk/euromillions/results-15-04-2025,parsed_no_machine_fields,2026-06-04T15:11:56.662399+00:00
2025-04-18,,,18,,,,,,,https://www.lottery.co.uk/euromillions/results-18-04-2025,parsed_no_machine_fields,2026-06-04T15:11:57.154142+00:00
2025-04-22,,,22,,,,,,,https://www.lottery.co.uk/euromillions/results-22-04-2025,parsed_no_machine_fields,2026-06-04T15:11:57.652474+00:00
2025-04-25,,,25,,,,,,,https://www.lottery.co.uk/euromillions/results-25-04-2025,parsed_no_machine_fields,2026-06-04T15:11:58.218834+00:00
2025-04-29,,,29,,,,,,,https://www.lottery.co.uk/euromillions/results-29-04-2025,parsed_no_machine_fields,2026-06-04T15:11:58.824764+00:00
2025-05-02,,,2,,,,,,,https://www.lottery.co.uk/euromillions/results-02-05-2025,parsed_no_machine_fields,2026-06-04T15:11:59.445506+00:00
2025-05-06,,,6,,,,,,,https://www.lottery.co.uk/euromillions/results-06-05-2025,parsed_no_machine_fields,2026-06-04T15:12:00.034653+00:00
2025-05-09,,,9,,,,,,,https://www.lottery.co.uk/euromillions/results-09-05-2025,parsed_no_machine_fields,2026-06-04T15:12:00.640864+00:00
2025-05-13,,,13,,,,,,,https://www.lottery.co.uk/euromillions/results-13-05-2025,parsed_no_machine_fields,2026-06-04T15:12:01.167688+00:00
2025-05-16,,,16,,,,,,,https://www.lottery.co.uk/euromillions/results-16-05-2025,parsed_no_machine_fields,2026-06-04T15:12:01.721117+00:00
2025-05-20,,,20,,,,,,,https://www.lottery.co.uk/euromillions/results-20-05-2025,parsed_no_machine_fields,2026-06-04T15:12:02.242294+00:00
2025-05-23,,,23,,,,,,,https://www.lottery.co.uk/euromillions/results-23-05-2025,parsed_no_machine_fields,2026-06-04T15:12:02.732871+00:00
2025-05-27,,,27,,,,,,,https://www.lottery.co.uk/euromillions/results-27-05-2025,parsed_no_machine_fields,2026-06-04T15:12:03.213775+00:00
2025-05-30,,,30,,,,,,,https://www.lottery.co.uk/euromillions/results-30-05-2025,parsed_no_machine_fields,2026-06-04T15:12:03.720086+00:00
2025-06-03,,,3,,,,,,,https://www.lottery.co.uk/euromillions/results-03-06-2025,parsed_no_machine_fields,2026-06-04T15:12:04.246865+00:00
2025-06-06,,,6,,,,,,,https://www.lottery.co.uk/euromillions/results-06-06-2025,parsed_no_machine_fields,2026-06-04T15:12:05.013643+00:00
2025-06-10,,,10,,,,,,,https://www.lottery.co.uk/euromillions/results-10-06-2025,parsed_no_machine_fields,2026-06-04T15:12:05.758018+00:00
2025-06-13,,,13,,,,,,,https://www.lottery.co.uk/euromillions/results-13-06-2025,parsed_no_machine_fields,2026-06-04T15:12:06.504744+00:00
2025-06-17,,,17,,,,,,,https://www.lottery.co.uk/euromillions/results-17-06-2025,parsed_no_machine_fields,2026-06-04T15:12:07.150074+00:00
2025-06-20,,,20,,,,,,,https://www.lottery.co.uk/euromillions/results-20-06-2025,parsed_no_machine_fields,2026-06-04T15:12:07.640460+00:00
2025-06-24,,,24,,,,,,,https://www.lottery.co.uk/euromillions/results-24-06-2025,parsed_no_machine_fields,2026-06-04T15:12:08.131103+00:00
2025-06-27,,,27,,,,,,,https://www.lottery.co.uk/euromillions/results-27-06-2025,parsed_no_machine_fields,2026-06-04T15:12:08.606219+00:00
2025-07-01,,,1,,,,,,,https://www.lottery.co.uk/euromillions/results-01-07-2025,parsed_no_machine_fields,2026-06-04T15:12:09.126276+00:00
2025-07-04,,,4,,,,,,,https://www.lottery.co.uk/euromillions/results-04-07-2025,parsed_no_machine_fields,2026-06-04T15:12:09.650129+00:00
2025-07-08,,,8,,,,,,,https://www.lottery.co.uk/euromillions/results-08-07-2025,parsed_no_machine_fields,2026-06-04T15:12:10.270459+00:00
2025-07-11,,,11,,,,,,,https://www.lottery.co.uk/euromillions/results-11-07-2025,parsed_no_machine_fields,2026-06-04T15:12:10.999564+00:00
2025-07-15,,,15,,,,,,,https://www.lottery.co.uk/euromillions/results-15-07-2025,parsed_no_machine_fields,2026-06-04T15:12:11.608895+00:00
2025-07-18,,,18,,,,,,,https://www.lottery.co.uk/euromillions/results-18-07-2025,parsed_no_machine_fields,2026-06-04T15:12:12.229166+00:00
2025-07-22,,,22,,,,,,,https://www.lottery.co.uk/euromillions/results-22-07-2025,parsed_no_machine_fields,2026-06-04T15:12:13.106540+00:00
2025-07-25,,,25,,,,,,,https://www.lottery.co.uk/euromillions/results-25-07-2025,parsed_no_machine_fields,2026-06-04T15:12:13.598982+00:00
2025-07-29,,,29,,,,,,,https://www.lottery.co.uk/euromillions/results-29-07-2025,parsed_no_machine_fields,2026-06-04T15:12:14.074091+00:00
2025-08-01,,,1,,,,,,,https://www.lottery.co.uk/euromillions/results-01-08-2025,parsed_no_machine_fields,2026-06-04T15:12:14.568113+00:00
2025-08-05,,,5,,,,,,,https://www.lottery.co.uk/euromillions/results-05-08-2025,parsed_no_machine_fields,2026-06-04T15:12:15.075325+00:00
2025-08-08,,,8,,,,,,,https://www.lottery.co.uk/euromillions/results-08-08-2025,parsed_no_machine_fields,2026-06-04T15:12:15.582533+00:00
2025-08-12,,,12,,,,,,,https://www.lottery.co.uk/euromillions/results-12-08-2025,parsed_no_machine_fields,2026-06-04T15:12:16.074422+00:00
2025-08-15,,,15,,,,,,,https://www.lottery.co.uk/euromillions/results-15-08-2025,parsed_no_machine_fields,2026-06-04T15:12:16.679035+00:00
2025-08-19,,,19,,,,,,,https://www.lottery.co.uk/euromillions/results-19-08-2025,parsed_no_machine_fields,2026-06-04T15:12:17.203122+00:00
2025-08-22,,,22,,,,,,,https://www.lottery.co.uk/euromillions/results-22-08-2025,parsed_no_machine_fields,2026-06-04T15:12:17.855205+00:00
